                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92139,                 1.8927,                 1.4537,                0.87284,                0.71111,                0.79108,                   0.67,                0.77185,                 1.1667,                 1.3886,                0.00012,                0.00012,                0.00012
                      2,                0.82248,                  1.249,                   1.31,                0.65987,                0.64673,                0.62586,                  0.435,                  1.078,                 2.9021,                 1.8103,             0.00025743,             0.00025743,             0.00025743
                      3,                0.98611,                 1.3532,                 1.4317,                0.67767,                0.56074,                0.56927,                 0.4024,                 1.0255,                  1.565,                 1.6891,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.0332,                 1.1885,                 1.4278,                0.69894,                0.64444,                0.68117,                0.33179,                  1.962,                 6.8251,                 4.0573,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.0776,                 1.2616,                  1.506,                0.29615,                0.57778,                 0.3801,                0.15146,                 1.6791,                 7.6868,                 3.8294,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.2342,                 1.4167,                 1.6139,                0.72727,                0.17778,                0.37045,                 0.1508,                 2.2424,                 14.256,                 5.4961,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.1528,                 1.3306,                 1.5696,                0.01357,                0.15556,                0.00414,                0.00107,                 3.9724,                    647,                 77.462,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.3447,                 1.3672,                 1.6931,                0.00832,                0.08889,                0.00222,                0.00063,                  4.616,                 1732.5,                 516.89,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.4391,                  1.528,                 1.7042,                 0.0241,                0.08889,                0.01132,                0.00228,                 4.8173,                 110.96,                 51.112,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.3359,                 1.4682,                 1.6414,                 0.0152,                0.44444,                0.01019,                0.00218,                 3.9052,                 2542.2,                 292.48,               0.001257,               0.001257,               0.001257
                     11,                 1.2037,                 1.5285,                 1.5737,                0.00892,                0.44444,                0.00563,                0.00136,                 3.2349,                 1729.4,                 48.928,              0.0013695,              0.0013695,              0.0013695
                     12,                  1.466,                 1.5522,                 1.7917,                0.03033,                0.26667,                0.01638,                0.00326,                 3.7174,                 99.076,                  20.91,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.3123,                 1.2884,                 1.6136,                0.02061,                0.17778,                 0.0113,                0.00283,                 3.3946,                 94.797,                 20.956,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.3352,                 1.3485,                 1.6183,                0.02429,                0.13333,                0.01107,                0.00236,                 4.9936,                 1277.1,                 84.774,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.3921,                 1.3921,                 1.6622,                0.00928,                0.04444,                0.00129,                 0.0003,                  4.995,                 12.485,                 9.3691,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3939,                 1.4036,                 1.6918,                0.00553,                0.04444,                0.00232,                0.00068,                 4.1239,                 9.3813,                 6.8775,               0.001703,               0.001703,               0.001703
                     17,                 1.3543,                 1.4439,                 1.6641,                0.16079,                0.06667,                 0.0355,                0.00737,                 3.7252,                 6.2233,                 6.9531,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3414,                 1.3892,                 1.6491,                0.12832,                0.13333,                0.03955,                0.01141,                 2.9741,                 6.4789,                 3.6753,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2225,                 1.3502,                 1.5706,                0.07168,                0.22222,                0.05984,                0.03156,                 3.3887,                 14.869,                 4.4509,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1763,                 1.2504,                 1.5499,                0.05741,                0.08889,                0.02218,                0.00898,                 4.0338,                  6.329,                 5.3481,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2231,                 1.1571,                  1.555,                   0.12,                0.35556,                 0.0888,                0.03904,                 3.0604,                 6.1771,                 4.1302,               0.001604,               0.001604,               0.001604
                     22,                 1.2661,                 1.2713,                 1.6267,                0.08084,                0.31111,                0.06248,                0.02682,                 1.8695,                 9.0699,                 2.8235,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1748,                 1.2518,                 1.5623,                0.02631,                0.24444,                0.04836,                0.01178,                 2.8583,                 26.403,                  5.637,              0.0015644,              0.0015644,              0.0015644
                     24,                   1.09,                 1.1014,                  1.474,                0.07906,                0.51111,                0.15681,                0.08421,                 2.1464,                 6.9346,                 3.8209,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1526,                  1.179,                 1.4898,                0.20604,                0.38644,                0.19792,                0.10078,                 1.8713,                 4.8514,                 2.8988,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2201,                 1.2499,                 1.5507,                0.25859,                0.55556,                0.19705,                 0.0731,                 1.9744,                 3.0964,                 2.9607,               0.001505,               0.001505,               0.001505
                     27,                 1.0659,                 1.1071,                 1.4804,                0.19964,                0.32157,                0.12965,                 0.0583,                 2.9543,                 3.9817,                 3.8093,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0879,                 1.1329,                 1.4916,                0.72632,                0.53085,                0.59356,                0.30812,                 1.4296,                  1.543,                 2.4677,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.093,                 1.1485,                 1.4725,                 0.7252,                0.52792,                0.65341,                0.40519,                 1.4186,                 1.4643,                 2.2868,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0391,                 1.0995,                 1.4588,                0.65983,                    0.6,                 0.5736,                0.32953,                 2.0252,                 3.2121,                 2.4964,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1168,                 1.1228,                 1.5058,                0.65773,                0.57778,                0.64712,                0.34382,                 1.8178,                 1.6787,                 2.6044,               0.001406,               0.001406,               0.001406
                     32,                 1.1014,                 1.0681,                 1.4929,                0.63505,                0.55556,                0.58824,                0.32028,                  1.462,                 1.8374,                  2.174,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0759,                  1.065,                 1.4313,                 0.6285,                0.53333,                0.53709,                 0.3819,                 1.2672,                 2.2248,                 1.9763,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0604,                 1.0979,                 1.4321,                0.68771,                0.53842,                0.63065,                0.43171,                 1.1052,                 1.2701,                 1.8045,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1848,                 1.1601,                 1.5347,                0.76685,                0.55556,                0.57796,                 0.3679,                 1.0609,                  1.374,                 1.8188,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0227,                 1.0573,                 1.4137,                0.72222,                0.62222,                 0.6661,                0.43014,                0.97063,                 1.3835,                 1.9109,               0.001307,               0.001307,               0.001307
                     37,                0.95585,                 1.0016,                 1.3928,                0.82753,                    0.6,                0.72066,                0.48919,                0.92574,                 1.3789,                 1.8228,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0476,                0.99494,                 1.4406,                0.77325,                0.68214,                0.73032,                0.49881,                 1.1045,                 1.3367,                  2.014,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0424,                 1.0689,                 1.4161,                0.67218,                0.63802,                0.72734,                0.50549,                  1.046,                 1.3647,                 1.7767,              0.0012476,              0.0012476,              0.0012476
                     40,                0.96286,                0.98184,                 1.4071,                0.76216,                0.66667,                0.77009,                 0.5763,                0.83139,                 1.4013,                 1.4853,              0.0012278,              0.0012278,              0.0012278
                     41,                0.94772,                0.97118,                 1.4024,                 0.8526,                0.62222,                0.75043,                0.54491,                0.99406,                 1.3827,                 1.6881,               0.001208,               0.001208,               0.001208
                     42,                0.92652,                0.97499,                 1.3651,                0.72976,                0.57778,                0.66232,                0.45881,                0.96304,                 1.3261,                 1.5971,              0.0011882,              0.0011882,              0.0011882
                     43,                0.97954,                0.96579,                 1.3748,                0.86923,                0.66667,                0.74941,                0.54794,                0.96572,                0.96725,                 1.6063,              0.0011684,              0.0011684,              0.0011684
                     44,                0.91201,                0.86993,                 1.3662,                0.92906,                0.62222,                 0.7182,                0.55753,                0.84978,                0.94703,                 1.5463,              0.0011486,              0.0011486,              0.0011486
                     45,                0.94089,                0.88888,                 1.3625,                0.85905,                0.68889,                 0.7554,                0.55981,                 0.8858,                0.96052,                 1.6153,              0.0011288,              0.0011288,              0.0011288
                     46,                0.99638,                0.95357,                 1.3924,                0.85054,                0.66667,                0.79556,                0.54787,                 1.0786,                0.85565,                 1.7922,               0.001109,               0.001109,               0.001109
                     47,                0.87693,                0.87702,                 1.3607,                0.76068,                    0.8,                0.80301,                  0.545,                0.93826,                 0.8187,                 1.6276,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0006,                0.91657,                 1.4219,                0.83288,                0.73333,                0.81208,                0.50414,                  1.065,                0.90414,                 1.7542,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0682,                0.98399,                 1.4642,                0.88728,                0.68889,                0.78714,                0.49227,                0.99343,                0.86446,                 1.6576,              0.0010496,              0.0010496,              0.0010496
                     50,                0.92839,                 0.9427,                 1.3871,                0.77382,                0.71111,                0.78569,                0.57109,                  1.049,                0.86667,                 1.6373,              0.0010298,              0.0010298,              0.0010298
                     51,                0.90331,                0.85333,                 1.3552,                0.78912,                0.74853,                0.77801,                0.54558,                0.94277,                0.90501,                 1.6971,                0.00101,                0.00101,                0.00101
                     52,                0.92334,                 0.9215,                 1.3958,                0.88554,                0.73333,                0.75063,                0.51412,                0.98068,                0.93406,                 1.7171,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88771,                  0.831,                 1.3112,                0.91142,                0.66667,                0.74872,                0.54565,                 1.0476,                 0.9497,                 1.7263,              0.0009704,              0.0009704,              0.0009704
                     54,                0.97683,                0.89397,                 1.4497,                0.85576,                0.66667,                0.69925,                 0.5244,                0.92297,                0.95821,                  1.646,              0.0009506,              0.0009506,              0.0009506
                     55,                0.89965,                0.88027,                 1.3381,                0.86223,                0.68889,                0.73107,                0.50447,                0.97997,                 1.0372,                 1.6942,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87242,                  0.916,                 1.3437,                0.92566,                0.66667,                 0.7485,                0.57755,                0.86138,                0.90674,                 1.5555,               0.000911,               0.000911,               0.000911
                     57,                0.76521,                0.79651,                 1.2717,                0.93717,                0.66306,                0.77462,                0.60466,                0.92901,                0.78577,                 1.6402,              0.0008912,              0.0008912,              0.0008912
                     58,                0.79587,                0.75679,                 1.2645,                0.88512,                0.64444,                0.79503,                0.59608,                0.94673,                  0.783,                 1.6338,              0.0008714,              0.0008714,              0.0008714
                     59,                0.81382,                0.81471,                 1.2807,                0.82782,                0.64444,                0.80052,                0.56394,                0.91704,                0.80158,                 1.5982,              0.0008516,              0.0008516,              0.0008516
                     60,                0.88188,                0.81824,                 1.3371,                0.87353,                0.62222,                0.75949,                0.58048,                0.90826,                0.79171,                 1.6126,              0.0008318,              0.0008318,              0.0008318
                     61,                0.83209,                0.79876,                 1.2775,                0.78594,                0.68889,                0.75442,                0.58413,                0.93686,                 0.7851,                 1.6573,               0.000812,               0.000812,               0.000812
